Page ID,Title,URL,Provincie,ADRESSE,API_STATUS,QUERY_USED,ERROR_MESSAGE,LAT,LNG,GEO_STATUS,GEO_ERROR
1351,Kastelen per provincie,https://kastelenbelgie.be/nl/kastelen-per-provincie/,-,,SKIPPED_INDEX,,,,,NO_ADDRESS,
1260,Kastelen in luik,https://kastelenbelgie.be/nl/kastelen-luik/,Luik,,SKIPPED_INDEX,,,,,NO_ADDRESS,
354,Kasteel engelhof,https://kastelenbelgie.be/nl/kasteel-engelhof-houthalen/,Luik,"Hengelhoefdreef 2, 3530 Houthalen-Helchteren, België",OK,"Kasteel engelhof, Luik, België",,51.00829539999999,5.4612316,OK,
353,Kasteel Beauregard,https://kastelenbelgie.be/nl/kasteel-beauregard-froyennes/,Luik,"Rue Beauregard, 4020 Liège, België",OK,"Kasteel Beauregard, Luik, België",,50.6407749,5.5839153,OK,
352,Kasteel karreveld,https://kastelenbelgie.be/nl/kasteel-karreveld-te-sint-jans-molenbeek/,Luik,"Luik, België",OK,"Kasteel karreveld, Luik, België",,50.6402286,5.5689372,OK,
351,Kasteel van wegimont,https://kastelenbelgie.be/nl/kasteel-van-wegimont-ayeneux-soumagne/,Luik,"4630 Luik, België",OK,"Kasteel van wegimont, Luik, België",,50.6162143,5.7372708,OK,
350,Kasteel ter lucht,https://kastelenbelgie.be/nl/kasteel-ter-lucht-sint-andries/,Luik,"Luik, België",OK,"Kasteel ter lucht, Luik, België",,50.6402286,5.5689372,OK,
349,Hof ter borght,https://kastelenbelgie.be/nl/hof-ter-borght-westmeerbeek/,Luik,"Heide 41, 2235 Hulshout, België",OK,"Hof ter borght, Luik, België",,51.06401349999999,4.8436787,OK,
348,Kasteel van Durbuy,https://kastelenbelgie.be/nl/kasteel-van-durbuy-durbuy/,Luik,"6940 Durbuy, België",OK,"Kasteel van Durbuy, Luik, België",,50.3350543,5.4345624,OK,
347,Kasteel van fougeraie,https://kastelenbelgie.be/nl/kasteel-van-fougeraie-te-ukkel/,Luik,"Luik, België",OK,"Kasteel van fougeraie, Luik, België",,50.6402286,5.5689372,OK,
346,Kasteel Mohimont,https://kastelenbelgie.be/nl/kasteel-mohimont-villers-devant-orval/,Luik,"Rue Albert 1er 12, 4520 Wanze, België",OK,"Kasteel Mohimont, Luik, België",,50.5640637,5.2309256,OK,
345,Kasteel van Orval,https://kastelenbelgie.be/nl/kasteel-van-orval-villers-devant-orval/,Luxemburg,"Orval 5, 6823 Florenville, België",OK,"Kasteel van Orval, Luxemburg, België",,49.6342881,5.3476399,OK,
344,Kasteel van Templeuve,https://kastelenbelgie.be/nl/kasteel-van-templeuve-templeuve/,Henegouwen,"Templeuve, 7520 Doornik, België",OK,"Kasteel van Templeuve, Henegouwen, België",,50.64480709999999,3.283159,OK,
343,Kasteel van biez,https://kastelenbelgie.be/nl/kasteel-van-biez-peruwelz/,Namen,"Namen, België",OK,"Kasteel van biez, Namen, België",,50.46493340000001,4.864973099999999,OK,
342,Kasteel van Roumont,https://kastelenbelgie.be/nl/kasteel-van-roumont-roumont/,Antwerpen,"Antwerpen, België",OK,"Kasteel van Roumont, Antwerpen, België",,51.2199302,4.414990299999999,OK,
341,Kasteel van rethy,https://kastelenbelgie.be/nl/kasteel-van-rethy-retie/,Limburg,"Limburg, België",OK,"Kasteel van rethy, Limburg, België",,50.9738973,5.3419677,OK,
340,Kasteel van wijer,https://kastelenbelgie.be/nl/kasteel-van-wijer-te-wijer-gemeente-nieuwerkerken/,Antwerpen,"Grotestraat 205, 3850 Nieuwerkerken, België",OK,"Kasteel van wijer, Antwerpen, België",,50.8968522,5.2256516,OK,
339,Kasteel van bouchout,https://kastelenbelgie.be/nl/kasteel-van-bouchout-te-meise/,Antwerpen,"1860 Meise, België",OK,"Kasteel van bouchout, Antwerpen, België",,50.94786209999999,4.3302827,OK,
338,Kasteel ter borcht,https://kastelenbelgie.be/nl/kasteel-ter-borcht-meulebeke/,Antwerpen,"Heide 41, 2235 Hulshout, België",OK,"Kasteel ter borcht, Antwerpen, België",,51.06401349999999,4.8436787,OK,
337,Kasteel van heetvelde,https://kastelenbelgie.be/nl/kasteel-van-heetvelde-te-oetingen/,Vlaams-Brabant,"Oude Heerbaan 83, 1755 Pajottegem, België",OK,"Kasteel van heetvelde, Vlaams-Brabant, België",,50.7837295,4.053650999999999,OK,
336,Kasteel hulsberg,https://kastelenbelgie.be/nl/kasteel-hulsberg-borgloon/,Luxemburg,"Kasteel Hulsberg, Kasteel Hulsberg, 3840 Tongeren-Borgloon, België",OK,"Kasteel hulsberg, Luxemburg, België",,50.80299160000001,5.3260116,OK,
335,Kasteel van Voneche,https://kastelenbelgie.be/nl/kasteel-van-voneche-voneche/,Luxemburg,"Rue Le Parc, 5570 Beauraing, België",OK,"Kasteel van Voneche, Luxemburg, België",,50.0567753,4.9813783,OK,
334,Sint-Antoniuskasteel,https://kastelenbelgie.be/nl/sint-antoniuskasteel-celles/,Henegouwen,"Henegouwen, België",OK,"Sint-Antoniuskasteel, Henegouwen, België",,50.5257076,4.062101699999999,OK,
333,Oud kasteel van vichte,https://kastelenbelgie.be/nl/oud-kasteel-van-vichte-vichte/,Vlaams-Brabant,"Oud Kasteel van Vichte, Vichteplaats 46, 8570 Anzegem, België",OK,"Oud kasteel van vichte, Vlaams-Brabant, België",,50.8345236,3.4025304,OK,
332,Kasteel terlaemen,https://kastelenbelgie.be/nl/kasteel-terlaemen-te-viversel-zolder-gemeente-heusden-zolder/,Vlaams-Brabant,"Terlaemenlaan 125, 3550 Heusden-Zolder, België",OK,"Kasteel terlaemen, Vlaams-Brabant, België",,51.00061350000001,5.271854299999999,OK,
331,Kasteel blauw huys,https://kastelenbelgie.be/nl/kasteel-blauw-huys-drongen-gent/,Brussel,"Bosstraat 85-89, 9031 Gent, België",OK,"Kasteel blauw huys, Brussel, België",,51.082998,3.637362399999999,OK,
330,Kasteel van wedergrate,https://kastelenbelgie.be/nl/kasteel-van-wedergrate-ninove/,Luxemburg,"Esplanade Godefroy 1, 6830 Bouillon, België",OK,"Kasteel van wedergrate, Luxemburg, België",,49.79470509999999,5.0673796,OK,
329,Kastelen brussel,https://kastelenbelgie.be/nl/kastelen-brussel/,Antwerpen,,SKIPPED_INDEX,,,,,NO_ADDRESS,
328,Kasteel van Porcheresse,https://kastelenbelgie.be/nl/kasteel-van-porcheresse-daverdisse/,Limburg,"Limburg, België",OK,"Kasteel van Porcheresse, Limburg, België",,50.9738973,5.3419677,OK,
327,De solhof,https://kastelenbelgie.be/nl/de-solhof-aartselaar/,Vlaams-Brabant,"Baron van Ertbornstraat 120, 2630 Aartselaar, België",OK,"De solhof, Vlaams-Brabant, België",,51.1374894,4.3937688,OK,
326,Kasteel van wimmertingen,https://kastelenbelgie.be/nl/kasteel-van-wimmertingen-wimmertingen/,Limburg,"Luikersteenweg 741, 3501 Hasselt, België",OK,"Kasteel van wimmertingen, Limburg, België",,50.8819217,5.354536299999999,OK,
325,Kasteel de marnix,https://kastelenbelgie.be/nl/kasteel-de-marnix-te-overijse/,Henegouwen,"Kasteel de Marnix, 3090 Overijse, België",OK,"Kasteel de marnix, Henegouwen, België",,50.7928497,4.5163936,OK,
324,Kasteel ter motten,https://kastelenbelgie.be/nl/kasteel-ter-motten-te-dilsen/,Oost-Vlaanderen,"Europalaan 25, 3650 Dilsen-Stokkem, België",OK,"Kasteel ter motten, Oost-Vlaanderen, België",,51.0369829,5.7264826,OK,
323,Kasteel van froidcourt,https://kastelenbelgie.be/nl/kasteel-van-froidcourt-stoumont/,West-Vlaanderen,"Kasteel van Rumbeke, 8800 Roeselare, België",OK,"Kasteel van froidcourt, West-Vlaanderen, België",,50.9265455,3.1373618,OK,
322,Kasteel van leeuwergem,https://kastelenbelgie.be/nl/kasteel-van-leeuwergem-leeuwergem-zottegem/,Luxemburg,"Luxemburg, België",OK,"Kasteel van leeuwergem, Luxemburg, België",,50.0546886,5.467698299999999,OK,
321,Kasteel van elverdinge,https://kastelenbelgie.be/nl/kasteel-van-elverdinge-ieper/,Waals-Brabant,"Elverdinge, Ieper, België",OK,"Kasteel van elverdinge, Waals-Brabant, België",,50.88588009999999,2.817508,OK,
