Page ID,Title,URL,Provincie,PLACE_ID,NAME_FOUND,FORMATTED_ADDRESS,TYPES,BUSINESS_STATUS,OPEN_NOW,OPENING_HOURS_TEXT,MON,TUE,WED,THU,FRI,SAT,SUN,CAN_VISIT,API_STATUS,ERROR_MESSAGE,QUERY_USED,SOURCE
213,Kasteel hoogveld,https://kastelenbelgie.be/nl/kasteel-hoogveld-veldegem/,Namen,ChIJJV1EB2pOw0cREK20w2lYb7U,Hoogveld,"Hoogveld 4, 8210 Zedelgem","establishment,lodging,point_of_interest,tourist_attraction",OPERATIONAL,TRUE,maandag: 08:00–19:00 | dinsdag: 08:00–19:00 | woensdag: 08:00–19:00 | donderdag: 08:00–19:00 | vrijdag: 08:00–19:00 | zaterdag: 08:00–19:00 | zondag: 08:00–19:00,08:00–19:00,08:00–19:00,08:00–19:00,08:00–19:00,08:00–19:00,08:00–19:00,08:00–19:00,yes,OK,,"Kasteel hoogveld, Namen, België",GOOGLE_PLACES
212,Kasteel blauwhuis,https://kastelenbelgie.be/nl/kasteel-blauwhuis-izegem/,Luik,ChIJT_33fns3w0cRfNjtwUkG8Hs,Kasteel Blauwhuis,"Kasteelwijk 3, 8870 Izegem","establishment,point_of_interest,real_estate_agency",OPERATIONAL,TRUE,maandag: 24 uur geopend | dinsdag: 24 uur geopend | woensdag: 24 uur geopend | donderdag: 24 uur geopend | vrijdag: 24 uur geopend | zaterdag: 24 uur geopend | zondag: 24 uur geopend,24 uur geopend,24 uur geopend,24 uur geopend,24 uur geopend,24 uur geopend,24 uur geopend,24 uur geopend,yes,OK,,"Kasteel blauwhuis, Luik, België",GOOGLE_PLACES
211,Kasteel isschot,https://kastelenbelgie.be/nl/kasteel-isschot-itegem/,Luik,ChIJQQVlE3BXwUcRsq8ryCKHtVQ,Kasteel Isschot,"Isschotweg 75, 2222 Heist-op-den-Berg","establishment,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Kasteel isschot, Luik, België",GOOGLE_PLACES
210,Kasteel diependael,https://kastelenbelgie.be/nl/kasteel-diependael-elewijt/,Antwerpen,ChIJM5I94_Hxw0cReh4KIxVCRV4,Kasteel Cleydael,"Cleydaellaan 36, 2630 Aartselaar","establishment,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Kasteel diependael, Antwerpen, België",GOOGLE_PLACES
209,Kasteel van freyr,https://kastelenbelgie.be/nl/kasteel-van-freyr-freyr/,Antwerpen,ChIJNVLWSZbqwUcRhxZeQpsiiBU,Kasteel van Freÿr,"Freyr 12, 5540 Hastière","establishment,point_of_interest,tourist_attraction",OPERATIONAL,FALSE,maandag: Gesloten | dinsdag: 11:00–17:00 | woensdag: 11:00–17:00 | donderdag: 11:00–17:00 | vrijdag: 11:00–17:00 | zaterdag: 11:00–17:00 | zondag: 11:00–17:00,Gesloten,11:00–17:00,11:00–17:00,11:00–17:00,11:00–17:00,11:00–17:00,11:00–17:00,yes,OK,,"Kasteel van freyr, Antwerpen, België",GOOGLE_PLACES
208,Kasteel van dieupart,https://kastelenbelgie.be/nl/kasteel-van-dieupart-aywaille/,Antwerpen,ChIJAX_LZZJewEcRHSnEpBxbExU,Domaine Château de Dieupart,"Dieupart 37, 4920 Aywaille","bar,campground,establishment,lodging,park,point_of_interest",OPERATIONAL,FALSE,maandag: 08:50–17:00 | dinsdag: 08:50–17:00 | woensdag: 08:50–17:00 | donderdag: 08:50–17:00 | vrijdag: 08:50–17:00 | zaterdag: 08:50–17:00 | zondag: 08:50–17:00,08:50–17:00,08:50–17:00,08:50–17:00,08:50–17:00,08:50–17:00,08:50–17:00,08:50–17:00,yes,OK,,"Kasteel van dieupart, Antwerpen, België",GOOGLE_PLACES
207,Kasteel diepenbroeck,https://kastelenbelgie.be/nl/kasteel-diepenbroeck-lovendegem/,West-Vlaanderen,ChIJQ1PShrVRw0cR0Mdp5V49lfo,Kasteel van Loppem,"Steenbrugsestraat 26, 8210 Zedelgem","establishment,museum,park,point_of_interest,tourist_attraction",OPERATIONAL,FALSE,maandag: 13:00–17:30 | dinsdag: 13:00–17:30 | woensdag: 13:00–17:30 | donderdag: 13:00–17:30 | vrijdag: 13:00–17:30 | zaterdag: 13:00–17:30 | zondag: 13:00–17:30,13:00–17:30,13:00–17:30,13:00–17:30,13:00–17:30,13:00–17:30,13:00–17:30,13:00–17:30,yes,OK,,"Kasteel diepenbroeck, West-Vlaanderen, België",GOOGLE_PLACES
206,Hof van liere,https://kastelenbelgie.be/nl/hof-van-liere-zandhoven/,West-Vlaanderen,ChIJWe6W3hSlw0cRsrsb3heIHJ0,Hof van Lier,"Hof Van Lierstraat 2, 9506 Geraardsbergen","establishment,health,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Hof van liere, West-Vlaanderen, België",GOOGLE_PLACES
205,Kasteel bouckenborgh,https://kastelenbelgie.be/nl/kasteel-bouckenborgh-merksem/,Oost-Vlaanderen,ChIJO0CRZ-z3w0cR34CNg_BuRmA,Kasteel Bouckenborgh,"Bredabaan 555, 2170 Antwerpen","establishment,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Kasteel bouckenborgh, Oost-Vlaanderen, België",GOOGLE_PLACES
204,Kasteel befferhof,https://kastelenbelgie.be/nl/kasteel-befferhof-bonheiden/,Oost-Vlaanderen,ChIJD9uGyBTkw0cRPFBqnhP_PZ4,Kasteel Befferhof,"Befferdreef 15, 2820 Bonheiden","establishment,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Kasteel befferhof, Oost-Vlaanderen, België",GOOGLE_PLACES
